Unnamed: 0,Scientific Name,Common Name,Order,Family,Role in Ecosystem
1958,Lon melane,umber skipper,Lepidoptera,Hesperiidae,Pollinator
1959,Metria amella,Live Oak Metria Moth,Lepidoptera,Erebidae,Unknown/Not Available
1960,Anoplotrupes stercorosus,Dor Beetle,Coleoptera,Geotrupidae,Decomposer
1961,Issoria lathonia,Queen of Spain fritillary,Lepidoptera,Nymphalidae,Pollinator
1962,Prochoerodes lineola,the large maple spanworm,Lepidoptera,Geometridae,Pest
1963,Acronicta aceris,Sycamore Moth,Lepidoptera,Noctuidae,Pest
1964,Erythemis plebeja,Pin-tailed Pondhawk ,Odonata,Libellulidae,Predator
1965,Ceratomia catalpae, the catalpa sphinx,Lepidoptera,Sphingidae,Pest
1966,Anthene emolus,Ciliate Blue,Lepidoptera,Lycaenidae,Pollinator
1967,Trimerotropis verruculata,"Crackling Forest Grasshopper, Cracker Grasshopper",Orthoptera,Acrididae,Pest
1968,Vespula alascensis,Alaska Yellowjacket,Hymenoptera,Vespidae,"Predator, pollinator"
1969,Delias hyparete,Painted Jezebel,Lepidoptera,Pieridae,Pollinator
1970,Panoquina ocola,"the ocola skipper, long-winged skipper",Lepidoptera,Hesperiidae,Pollinator
1971,Cycnia collaris,,Lepidoptera,Erebidae,Pollinator
1972,Euchlaena serrata,saw-wing moth,Lepidoptera,Geometridae,Pest
1973,Adela reaumurella,Green Longhorn Moth,Lepidoptera,Adelidae,Pollinator
1974,Anisota stigma,Spiny Oakworm Moth,Lepidoptera,Saturniidae,Pest
1975,Samea ecclesialis,Assembly Moth,Lepidoptera,Crambidae,Pest
1976,Euphyes vestris,"the dun skipper, sedge witch,dun sedge skipper",Lepidoptera,Hesperiidae,Pollinator
1977,Heterocampa biundata,Wavy-lined Heterocampa,Lepidoptera,Notodontidae,Pest
1978,Amphion floridensis,Nessus Sphinx,Lepidoptera,Sphingidae,Pollinator
1979,Anthocharis cardamines,Orange Tip Butterfly,Lepidoptera,Pieridae,Pollinator
1980,Odontotaenius disjunctus,"betsy beetle, bessbug, patent leather beetle, Jerusalem beetle, horn beetle, peg beetle",Coleoptera,Passalidae,Decomposer
1981,Lerema accius,clouded skipper,Lepidoptera,Hesperiidae,Pollinator
1982,Graphisurus fasciatus,Flat-faced Longhorn Beetle,Coleoptera,Cerambycidae,Decomposer
1983,Oedipoda caerulescens,Blue Winged Grasshopper,Orthoptera,Acrididae,Herbivore
1984,Hetaerina titia,Smoky Rubyspot,Odonata,Calopterygidae,Pollinator
1985,Glutophrissa drusilla,Florida White,Lepidoptera,Pieridae,Pollinator
1986,Euchlaena amoenaria,deep yellow euchlaena,Lepidoptera,Geometridae,Pest
1987,Catopsilia florella,"African migrant, African emigrant, common vagrant",Lepidoptera,Pieridae,Pollinator
1988,Parapoynx maculalis,polymorphic pondweed moth,Lepidoptera,Crambidae,Pest
1989,Morimus asper,Beech Longhorn Beetle,Coleoptera,Cerambycidae,Decomposer
1990,Belenois aurota,"pioneer, pioneer white,caper white",Lepidoptera,Pieridae,Pollinator
1991,Dolba hyloeus,Pawpaw Sphinx,Lepidoptera,Sphingidae,Pollinator
1992,Nemophora degeerella,"Longhorn Moth, Yellow-Barred Longhorn",Lepidoptera,Adelidae,Pollinator
1993,Cicindela oregona,Western tiger beetle,Coleoptera,Carabidae,Predator
1994,Ischnura hastata,Citrine Forktail,Odonata,Coenagrionidae,Predator
1995,Hetaerina americana,American rubyspot,Odonata,Calopterygidae,Pollinator
1996,Cydia pomonella,Codling moth,Lepidoptera,Tortricidae,Pest
1997,Citheronia regalis,Regal moth,Lepidoptera,Saturniidae,Pollinator
1998,Ctenolepisma longicaudata,long-tailed silverfish,Zygentoma,Lepismatidae,Pest
1999,Megalographa biloba,Bilobed looper moth,Lepidoptera,Noctuidae,Pest
2000,Chinavia hilaris,"green stink bug, green soldier bug",Hemiptera,Pentatomidae,Pest
2001,Samea multiplicalis,salvinia stem-borer moth,Lepidoptera,Crambidae,Pest
2002,Eacles imperialis,Imperial Moth,Lepidoptera,Saturniidae,Pollinator
2003,Anomoea laticlavia,"Persimmon Beetle, Clay-Colored Leaf Beetle",Coleoptera,Chrysomelidae,Pest
2004,Cyclochila australasiae,green grocer,Hemiptera,Cicadidae,Unknown/Not Available
2005,Cotinis mutabilis,figeater beetle,Coleoptera,Scarabaeidae,Pest
2006,Neoxabea bipunctata,Two-Spotted Tree Cricket,Orthoptera,Gryllidae,Pollinator
2007,Apantesis virguncula,Little Virgin Tiger Moth,Lepidoptera,Erebidae,Pollinator
2008,Eustixia pupula,spotted peppergrass moth,Lepidoptera,Crambidae,Pollinator
2009,Thaumetopoea processionea,Oak Processionary,Lepidoptera,Notodontidae,Pest
2010,Mimoschinia rufofascialis,"Rufous-Banded Pyralid Moth, Barberpole Caterpillar",Lepidoptera,Crambidae,Pest
2011,Proteuxoa hypochalchis,,Lepidoptera,Noctuidae,Pest
2012,Thaumetopoea pityocampa,Pine Processionary,Lepidoptera,Notodontidae,Pest
2013,Eurema brigitta,"small grass yellow, broad-bordered grass yellow",Lepidoptera,Pieridae,Pollinator
2014,Pieris oleracea,Mustard white,Lepidoptera,Pieridae,Pollinator
2015,Lestes vigilax,swamp spreadwing ,Odonata,Lestidae,Predator
2016,Lilioceris lilii,scarlet lily beetle,Coleoptera,Chrysomelidae,Pest
2017,Chauliognathus marginatus,"Margined Leatherwing, Margined soldier
beetle ",Coleoptera,Cantharidae,"Pollinator, predator"
2018,Hapithus agitator,restless bush cricket,Orthoptera,Gryllidae,Predator
2019,Lycorma delicatula,spotted lanternfly,Hemiptera,Fulgoridae,Unknown/Not Available
2020,Schinia arcigera,the arcigera flower moth,Lepidoptera,Noctuidae,Pollinator
2021,Satyrium behrii,Orange Hairstreak.,Lepidoptera,Lycaenidae,Pollinator
2022,Paraponera clavata,bullet ant,Hymenoptera,Formicidae,Predator
2023,Agrius convolvuli,Convolvulus Hawk-Moth,Lepidoptera,Sphingidae,Pollinator
2024,Achaea janata,Castor Semi-looper ,Lepidoptera,Erebidae,Pest
2025,Sitochroa palealis,carrot seed moth,Lepidoptera,Crambidae,Pest
2026,Mallodon dasystomus,Hardwood stump borer,Coleoptera,Cerambycidae,Decomposer
2027,Tramea carolina,Carolina Saddlebags,Odonata,Libellulidae,Predator
2028,Hypena abalienalis,white-lined hypena or white-lined bomolocha moth,Lepidoptera,Erebidae,Pest
2029,Nacaduba kurava,Six-Line Blue Butterfly ,Lepidoptera,Lycaenidae,Pollinator
2030,Phyllopalpus pulchellus,"red headed bush cricket, handsome trig, handsome bush cricket",Orthoptera,Trigonidiidae,Predator
2031,Riptortus pedestris,Bean bug,Hemiptera,Alydidae,Pest
2032,Camponotus planatus,"compact carpenter ant, short carpenter ant",Hymenoptera,Formicidae,Pest
2033,Estigmene acrea,saltmarsh caterpillar,Lepidoptera,Erebidae,Pest
2034,Melanodes anthracitaria,The Black Geometrid,Lepidoptera,Geometridae,Pest
2035,Leptoglossus occidentalis,western conifer seed bug,Hemiptera,Coreidae,Pest
2036,Ischnura denticollis,Black-fronted Forktail,Odonata,Coenagrionidae,Predator
2037,Pseudomantis albofimbriata,False garden mantis,Mantodea,Mantidae,Predator
2038,Cnaphalocrocis poeyalis,Lesser rice-leafroller,Lepidoptera,Crambidae,Pest
2039,Adalia bipunctata,"Two-Spot Ladybird, Two-Spotted Ladybug, 
Two-Spotted Lady Beetle",Coleoptera,Coccinellidae,Predator
2040,Hileithia magualis,,Lepidoptera,Crambidae,Unknown/Not Available
2041,Campaea margaritaria,light emerald,Lepidoptera,Geometridae,Unknown/Not Available
2042,Leucorrhinia glacialis,crimson-ringed whiteface,Odonata,Libellulidae,Predator
2043,Triodia sylvina,"Orange Swift, Orange Moth",Lepidoptera,Hepialidae,Pollinator
2044,Euphaea decorata,Black-banded Gossamerwing,Odonata,Euphaeidae,Pollinator
2045,Emmelina monodactyla,Morning-Glory Plume Moth,Lepidoptera,Pterophoridae,Pest
2046,Leptotes cassius,"cassius blue, tropical striped blue butterfly",Lepidoptera,Lycaenidae,Pollinator
2047,Ceratomia amyntor,"elm sphinx, four-horned sphinx",Lepidoptera,Sphingidae,Pest
2048,Vespula maculifrons,Eastern Yellowjacket,Hymenoptera,Vespidae,"Predator, pollinator"
2049,Anthanassa texana,Texas Crescent,Lepidoptera,Nymphalidae,Pollinator
2050,Pogonomyrmex barbatus,"red ant ,red harvester ant",Hymenoptera,Formicidae,"Predator, seed disperser"
2051,Enallagma geminatum,Skimming Bluet,Odonata,Coenagrionidae,Predator
2052,Vespa velutina,Asian Hornet,Hymenoptera,Vespidae,"Predator, invasive species"
2053,Aeshna cyanea,Southern Hawker,Odonata,Aeshnidae,Predator
2054,Palpopleura lucia,Lucia Widow,Odonata,Libellulidae,Predator
2055,Aglais urticae,Small Tortoiseshell,Lepidoptera,Nymphalidae,Pollinator
2056,Scopula limboundata,Large lace-border,Lepidoptera,Geometridae,Pollinator
2057,Anisota senatoria,Orangestriped Oakworm ,Lepidoptera,Saturniidae,Pest
2058,Sympetrum ambiguum,Blue-faced Meadowhawk,Odonata,Libellulidae,Predator
2059,Phyllobius pomaceus,nettle weevil,Coleoptera,Curculionidae,Pest
2060,Orthemis discolor,"carmine skimmer, orange-bellied skimmer",Odonata,Libellulidae,Predator
2061,Heterocampa umbrata,"the white-blotched heterocampa,",Lepidoptera,Notodontidae,Pest
2062,Megalopyge crispata,Black-waved Flannel Moth,Lepidoptera,Megalopygidae,Pest
2063,Tholymis tillarga,Coral-tailed Cloudwing,Odonata,Libellulidae,Predator
2064,Physocephala tibialis,,Diptera,Conopidae,Parasitoid
2065,Pyrausta purpuralis,"Common Purple & Gold
",Lepidoptera,Crambidae,Pollinator
2066,Agrionoptera insignis,Red Swampdragon,Odonata,Libellulidae,Predator
2067,Pareuchaetes insulata,yellow-winged parechaetes,Lepidoptera,Erebidae,Pest
2068,Sympecma fusca,Common Winter Damselfly,Odonata,Lestidae,Predator
2069,Limenitis populi,poplar admiral,Lepidoptera,Nymphalidae,Pollinator
2070,Stegasta bosqueella,Red-necked Peanutworm Moth,Lepidoptera,Gelechiidae,Pest
2071,Acanalonia bivittata,Two-stripped Planthopper,Hemiptera,Acanaloniidae,Pest
2072,Hemicordulia tau,The tau emerald,Odonata,Corduliidae,Predator
2073,Athyma selenophora,Staff Sergeant,Lepidoptera,Nymphalidae,Pollinator
2074,Comostola laesaria,,Lepidoptera,Geometridae,Pollinator
2075,Mallophora leschenaulti,"Belzebul Bee Killer, Black Bee Killer",Diptera,Asilidae,Predator
2076,Amata huebneri,Hübner's Wasp Moth ,Lepidoptera,Erebidae,Pollinator
2077,Obeidia tigrata,Hübner's Wasp Moth ,Lepidoptera,Geometridae,Pollinator
2078,Palpada vinetorum,Northern Plushback,Diptera,Syrphidae,Pollinator
2079,Elaphidion mucronatum,Spined Oak Borer,Coleoptera,Cerambycidae,Pest
2080,Udea rubigalis,"Celery Leaftier, Greenhouse Leaftier",Lepidoptera,Crambidae,Pest
2081,Catocala maestosa,Sad underwing,Lepidoptera,Erebidae,Pollinator
2082,Spilostethus pandurus,Milkweed Bug,Hemiptera,Lygaeidae,Pest
2083,Junonia orithya,"blue pansy, eyes pansey",Lepidoptera,Nymphalidae,Pollinator
2084,Spilosoma lubricipeda,White Ermine,Lepidoptera,Erebidae,Pest
2085,Heliophorus ila,Heliophorus,Lepidoptera,Lycaenidae,Pollinator
2086,Macaria bisignata,redheaded inchworm moth,Lepidoptera,Geometridae,Pest
2087,Idaea degeneraria,Portland ribbon wave,Lepidoptera,Geometridae,Unknown/Not Available
2088,Epidesmia tryxaria,Australian Lepidoptera,Lepidoptera,Geometridae,Pollinator
2089,Chlosyne gorgone,gorgone checkerspot,Lepidoptera,Nymphalidae,Pollinator
2090,Rivula sericealis,Straw dot,Lepidoptera,Erebidae,Pest
2091,Crambus agitatellus,double-banded grass-veneer,Lepidoptera,Crambidae,Pest
2092,Apis dorsata,Giant Honey Bee,Hymenoptera,Apidae,Pollinator
2093,Megalopyge opercularis,Southern Flannel Moth,Lepidoptera,Megalopygidae,Pest
2094,Orgyia postica," the cocoa tussock moth, hevea tussock moth",Lepidoptera,Erebidae,Pest
2095,Trichiotinus texanus,Texas Flower Scarab,Coleoptera,Scarabaeidae,Pollinator
2096,Phrissogonus laticostata,apple looper,Lepidoptera,Geometridae,Pest
2097,Bombus terricola, yellow-banded bumblebee,Hymenoptera,Apidae,Pollinator
2098,Ectropis crepuscularia,"Engrailed, Small Engrailed Moth",Lepidoptera,Geometridae,Pest
2099,Atta mexicana,leaf-cutter ant,Hymenoptera,Formicidae,Pest
2100,Phanogomphus militaris,sulphur-tipped clubtail,Odonata,Gomphidae,Predator
2101,Hylaeus modestus,yellow-faced bees,Hymenoptera,Colletidae,Pollinator
2102,Stylogomphus albistylus,Eastern Least Clubtail,Odonata,Gomphidae,Predator
2103,Aglais io,Peacock Butterfly,Lepidoptera,Nymphalidae,Pollinator
2104,Chorthippus brunneus,common field grasshopper ,Orthoptera,Acrididae,Herbivore
2105,Erebia ligea,Arran Brown,Lepidoptera,Nymphalidae,Unknown/Not Available
2106,Disclisioprocta stellata,"Somber Carpet Looper, Bougainvillea Looper",Lepidoptera,Geometridae,Pest
2107,Xestia xanthographa,Square-spot rustic,Lepidoptera,Noctuidae,Pest
2108,Cameraria ohridella,horse chestnut leaf miner,Lepidoptera,Gracillariidae,Pest
2109,Phalera bucephala,buff-tip moth,Lepidoptera,Notodontidae,Pest
2110,Perispasta caeculalis,titian peale's pyralid moth,Lepidoptera,Crambidae,Unknown/Not Available
2111,Deltote pygarga,Marbled White Spot Moth,Lepidoptera,Noctuidae,Unknown/Not Available
2112,Archilestes grandis,Great Spreadwing,Odonata,Lestidae,Predator
2113,Basiaeschna janata,springtime darner,Odonata,Aeshnidae,Predator
2114,Lytta magister,"desert blister beetle, master blister beetle",Coleoptera,Meloidae,Pollinator
2115,Heliconius erato," red passion flower butterfly,the crimson-patched longwing.",Lepidoptera,Nymphalidae,Pollinator
2116,Polistes major,Horse's Paper Wasp,Hymenoptera,Vespidae,Predator
2117,Celastrina lucia,"lucia azure, northern azure, eastern spring azure,northern spring azure,",Lepidoptera,Lycaenidae,Pollinator
2118,Cydia latiferreana,filbertworm,Lepidoptera,Tortricidae,Pest
2119,Enallagma exsulans,Stream Bluet,Odonata,Coenagrionidae,Predator
2120,Macaria aemulataria,common angle moth,Lepidoptera,Geometridae,Pest
2121,Calycopis isobeon,Dusky-blue Groundstreak,Lepidoptera,Lycaenidae,Pollinator
2122,Malachius bipustulatus,malachite beetle,Coleoptera,Melyridae,"Predator, pollinator"
2123,Siproeta epaphus,Rusty-tipped page,Lepidoptera,Nymphalidae,Pollinator
2124,Pyrausta signatalis,raspberry pyrausta moth,Lepidoptera,Crambidae,Pest
2125,Didymoctenia exsuperata,Thick-Lined Bark Moth,Lepidoptera,Geometridae,Pest
2126,Acronicta rumicis,Knot Grass Moth,Lepidoptera,Noctuidae,Pest
2127,Melipotis cellaris,Cellar Melipotis Moth,Lepidoptera,Erebidae,Unknown/Not Available
2128,Mocis frugalis,Sugarcane Looper,Lepidoptera,Erebidae,Pest
2129,Alcis repandata,Mottled Beauty ,Lepidoptera,Geometridae,Unknown/Not Available
2130,Cerotoma trifurcata,bean leaf beetle,Coleoptera,Chrysomelidae,Pest
2131,Leptoglossus phyllopus,eastern leaf-footed bug,Hemiptera,Coreidae,Pest
2132,Antigonus erosus,Common Spurwing,Lepidoptera,Hesperiidae,Pest
2133,Iris oratoria,Mediterranean mantis,Mantodea,Eremiaphilidae,Predator
2134,Cysteodemus armatus,Inflated blister beetle,Coleoptera,Meloidae,Pollinator
2135,Orthodes majuscula,the rustic Quaker,Lepidoptera,Noctuidae,Pest
2136,Roeseliana roeselii,Roesel's bush-cricket,Orthoptera,Tettigoniidae,Predator
2137,Vespula germanica,German Wasp,Hymenoptera,Vespidae,"Pest, predator, pollinator, invasive species"
2138,Arta olivalis,Olive Arta Moth,Lepidoptera,Pyralidae,Pest
2139,Phoberia atomaris,common oak moth,Lepidoptera,Erebidae,Decomposer
2140,Bombus vagans,Half-black bumble bee ,Hymenoptera,Apidae,Pollinator
2141,Sicya macularia,"sharp-lined yellow, pink-bordered yellow, two-pronged looper",Lepidoptera,Geometridae,Pest
2142,Heterocampa guttivitta,Saddled prominent moth,Lepidoptera,Notodontidae,Pest
2143,Perithemis tenera,eastern amberwing,Odonata,Libellulidae,Predator
2144,Chauliognathus basalis,Colorado Soldier Beetle,Coleoptera,Cantharidae,Pollinator
2145,Brachythemis leucosticta,northern banded groundling,Odonata,Libellulidae,Predator
2146,Satyrium sylvinus,The sylvan hairstreak,Lepidoptera,Lycaenidae,Pollinator
2147,Macrodiplax cora,"coastal glider, wandering pennant, Cora's pennant",Odonata,Libellulidae,Predator
2148,Dicromantispa interrupta,Four-Spotted Mantidfly,Neuroptera,Mantispidae,Predator
2149,Dira clytus,Cape Autumn Widow,Lepidoptera,Nymphalidae,Pollinator
2150,Acronicta rubricoma,Ruddy Dagger Moth,Lepidoptera,Noctuidae,Pollinator
2151,Coenonympha pamphilus,small heath,Lepidoptera,Nymphalidae,Pollinator
2152,Bombus mixtus," fuzzy-horned bumblebee, tricoloured bumblebee, orange-belted bumblebee, mixed bumblebee.
",Hymenoptera,Apidae,Pollinator
2153,Charidotella sexpunctata,Golden tortoise beetle,Coleoptera,Chrysomelidae,Pest
2154,Argia immunda,Kiowa Dancer,Odonata,Coenagrionidae,Predator
2155,Prenolepis imparis,the false honey ant,Hymenoptera,Formicidae,Decomposer
2156,Cyrtepistomus castaneus,asiatic oak weevil,Coleoptera,Curculionidae,Pest
2157,Thorybes pylades,Northern Cloudywing,Lepidoptera,Hesperiidae,Pollinator
2158,Satyrium favonius,The Oak Hairstreak or Southern Hairstreak,Lepidoptera,Lycaenidae,Pollinator
2159,Dichorda iridaria,Showy Emerald Moth,Lepidoptera,Geometridae,Pollinator
2160,Pyrisitia proterpia,Tailed Orange,Lepidoptera,Pieridae,Pollinator
2161,Orgyia definita,Definite tussock moth,Lepidoptera,Erebidae,Pest
2162,Plodia interpunctella,Indianmeal moth,Lepidoptera,Pyralidae,Pest
2163,Amphiagrion saucium,Eastern Red Damsel,Odonata,Coenagrionidae,Predator
2164,Limnaecia phragmitella,shy cosmet moth,Lepidoptera,Cosmopterigidae,Pest
2165,Epiblema strenuana,"Stem-Galling Moth, Ragweed Borer",Lepidoptera,Tortricidae,Pest
2166,Spodoptera exigua,Beet Armyworm,Lepidoptera,Noctuidae,Pest
2167,Melipotis indomita,Indomitable Graphic Moth,Lepidoptera,Erebidae,Unknown/Not Available
2168,Erynnis tages,The Dingy Skipper,Lepidoptera,Hesperiidae,Pollinator
2169,Xylophanes tersa,Tersa Sphinx,Lepidoptera,Sphingidae,Pollinator
2170,Harrisimemna trisignata,Harris's three spot,Lepidoptera,Noctuidae,Pollinator
2171,Clytus ruricola,longhorned beetle,Coleoptera,Cerambycidae,Pest
2172,Zale lunata,Lunate Zale Moth,Lepidoptera,Erebidae,Pest
2173,Tetragonisca angustula,,Hymenoptera,Apidae,Pollinator
2174,Sympetrum costiferum,Saffron-winged Meadowhawk,Odonata,Libellulidae,Predator
2175,Pieris canidia,Indian cabbage white,Lepidoptera,Pieridae,Pest
2176,Lygropia rivulalis,log lygropia moth,Lepidoptera,Crambidae,Pest
2177,Limenitis archippus,viceroy,Lepidoptera,Nymphalidae,Unknown/Not Available
2178,Dolichovespula maculata,Bald-Faced Hornet,Hymenoptera,Vespidae,Predator
2179,Nigetia formosalis,Thin-Winged Owlet Moth,Lepidoptera,Erebidae,Pollinator
2180,Caenurgina erechtea,"orage looper, common grass moth",Lepidoptera,Erebidae,Pest
2181,Sphinx chersis,"the great ash sphinx, northern ash sphinx",Lepidoptera,Sphingidae,Pollinator
2182,Leptosia nina,,Lepidoptera,Pieridae,Pollinator
2183,Epiblema scudderiana,Goldenrod Gall Moth,Lepidoptera,Tortricidae,Pest
2184,Coelostathma discopunctana,Batman moth,Lepidoptera,Tortricidae,Pollinator
2185,Polygonia gracilis,Hoary comma,Lepidoptera,Nymphalidae,Pollinator
2186,Closterotomus norwegicus,"potato bug, potato capsid, strawberry bug",Hemiptera,Miridae,Pest
2187,Euphydryas chalcedona,Variable Checkerspot,Lepidoptera,Nymphalidae,Pollinator
2188,Gonepteryx rhamni,Common brimstone,Lepidoptera,Pieridae,Pollinator
2189,Halictus poeyi,Poey's furrow bee,Hymenoptera,Halictidae,Pollinator
2190,Ladona julia,chalk-fronted corporal,Odonata,Libellulidae,Predator
2191,Cupido argiades,short-tailed blue,Lepidoptera,Lycaenidae,Pollinator
2192,Melaphis rhois,StaghornSumac Aphid,Hemiptera,Aphididae,Pest
2193,Phlogophora periculosa,brown angle shades,Lepidoptera,Noctuidae,Pest
2194,Phosphila turbulenta,Turbulent Phosphila,Lepidoptera,Noctuidae,Decomposer
2195,Macroglossum stellatarum,hummingbird hawk-moth,Lepidoptera,Sphingidae,Pollinator
2196,Ameles spallanzania,European Dwarf Mantis ,Mantodea,Amelidae,Predator
2197,Parrhasius m-album,white M hairstreak butterfly,Lepidoptera,Lycaenidae,Pollinator
2198,Polistes carnifex,"Executioner Paper Wasp, Executioner Wasp",Hymenoptera,Vespidae,Predator
2199,Pyrausta volupialis,volupial pyrausta moth,Lepidoptera,Crambidae,Unknown/Not Available
2200,Nola desmotes,,Lepidoptera,Nolidae,Unknown/Not Available
2201,Murgantia histrionica,Harlequin Cabbage Bug,Hemiptera,Pentatomidae,Pest
2202,Heliopetes ericetorum,northern white-skipper,Lepidoptera,Hesperiidae,Pollinator
2203,Acharia stimulea,Saddleback Caterpillar ,Lepidoptera,Limacodidae,Pest
2204,Vanessa virginiensis,American Lady,Lepidoptera,Nymphalidae,Pollinator
2205,Atalopedes campestris,Sachem,Lepidoptera,Hesperiidae,Pollinator
2206,Pyrgus malvoides,Southern Grizzled Skipper,Lepidoptera,Hesperiidae,Pollinator
2207,Caedicia simplex,bush cricket,Orthoptera,Tettigoniidae,Pest
2208,Pterophorus pentadactyla,white plume moth,Lepidoptera,Pterophoridae,Pollinator
2209,Perina nuda,"clearwood tussock moth, banyan tussock moth",Lepidoptera,Erebidae,Pest
2210,Eucosma parmatana,olethreutine leafroller moth,Lepidoptera,Tortricidae,Pest
2211,Eristalis tenax,"the drone fly,rat-tailed maggot",Diptera,Syrphidae,Pollinator
2212,Rhodobaenus quinquepunctatus,cocklebur weevil,Coleoptera,Curculionidae,Pest
2213,Calopteron terminale,End-banded Net-Winged Beetle,Coleoptera,Lycidae,Decomposer
2214,Halysidota harrisii,sycamore tussock moth,Lepidoptera,Erebidae,Pest
2215,Amphipyra pyramidoides,Copper Underwing,Lepidoptera,Noctuidae,Pest
2216,Schinia florida,Primrose moth,Lepidoptera,Noctuidae,Pollinator
2217,Hypsopygia olinalis,yellow-fringed dolichomia,Lepidoptera,Pyralidae,Pest
2218,Neptis hylas,Common Sailor,Lepidoptera,Nymphalidae,Pollinator
2219,Morpho helenor,"Common Blue Morpho, Helenor Blue Morpho",Lepidoptera,Nymphalidae,Pollinator
2220,Daimio tethys,White-Banded Flat Butterfly,Lepidoptera,Hesperiidae,Pollinator
2221,Lethe portlandia,,Lepidoptera,Nymphalidae,Pollinator
2222,Anthidium oblongatum,Oblong Woolcarder Bee,Hymenoptera,Megachilidae,Pollinator
2223,Eilema sororcula,The Orange Footman,Lepidoptera,Erebidae,Pollinator
2224,Magicicada septendecim,pharaoh cicada,Hemiptera,Cicadidae,Unknown/Not Available
2225,Tyta luctuosa,"Four-spotted Moth, Field Bindweed Moth",Lepidoptera,Noctuidae,Pest
2226,Euborellia annulipes,ring-legged earwig,Dermaptera,Anisolabididae,Predator
2227,Xenox tigrinus,Tiger Bee Fly,Diptera,Bombyliidae,Parasitoid
2228,Macromia illinoiensis,swift river cruiser,Odonata,Macromiidae,Predator
2229,Sympetrum obtrusum,White-faced Meadowhawk,Odonata,Libellulidae,Predator
2230,Panthea acronyctoides,tufted spruce caterpillar,Lepidoptera,Noctuidae,Pest
2231,Oxycarenus lavaterae,lime seed bug,Hemiptera,Oxycarenidae,Pest
2232,Maliattha amorpha,,Lepidoptera,Noctuidae,Unknown/Not Available
2233,Hoplodrina ambigua,Vine's rustic,Lepidoptera,Noctuidae,Pest
2234,Sympetrum striolatum,Common Darter,Odonata,Libellulidae,Predator
2235,Doxocopa laure,Silver Emperor,Lepidoptera,Nymphalidae,Pollinator
2236,Enyo lugubris,Mournful Sphinx Moth,Lepidoptera,Sphingidae,Pollinator
2237,Melitaea didyma,Spotted Fritillary,Lepidoptera,Nymphalidae,Pollinator
2238,Eumorpha vitis,Vine Sphinx,Lepidoptera,Sphingidae,Pollinator
2239,Mechanitis polymnia,Orange-spotted Tiger Clearwing,Lepidoptera,Nymphalidae,Pollinator
2240,Lobocleta ossularia,drab brown wave moth,Lepidoptera,Geometridae,Unknown/Not Available
2241,Enallagma civile,Familiar Bluet,Odonata,Coenagrionidae,Predator
2242,Palpita vitrealis," jasmine moth, white pearl",Lepidoptera,Crambidae,Pest
2243,Campaea perlata,Pale beauty,Lepidoptera,Geometridae,Unknown/Not Available
2244,Pheosidea elegans,Elegant Prominent,Lepidoptera,Notodontidae,Pest
2245,Glaucopsyche lygdamus,Silvery blue,Lepidoptera,Lycaenidae,Pollinator
2246,Virbia aurantiaca,Orange Holomelina,Lepidoptera,Erebidae,Decomposer
2247,Heliomata cycladata,common spring moth,Lepidoptera,Geometridae,Pest
2248,Speyeria callippe,callippe fritillary,Lepidoptera,Nymphalidae,Pollinator
2249,Apis mellifera,"Western Honey Bee, European Honey Bee",Hymenoptera,Apidae,Pollinator
2250,Eurydema oleracea,"The rape bug, the crucifer shield bug, the cabbage bug, the brassica bug",Hemiptera,Pentatomidae,Pest
2251,Eumorpha fasciatus,Banded sphinx moth,Lepidoptera,Sphingidae,Pollinator
2252,Euodynerus foraminatus,mason wasp,Hymenoptera,Vespidae,Predator
2253,Schistocerca nitens,"vagrant grasshopper, gray bird grasshopper",Orthoptera,Acrididae,Pest
2254,Stethophyma grossum,Large Marsh Grasshopper,Orthoptera,Acrididae,Unknown/Not Available
2255,Phaneroptera falcata,sickle-bearing bush-cricket,Orthoptera,Tettigoniidae,Pollinator
2256,Laphria thoracica,bee-like robber fly,Diptera,Asilidae,Predator
2257,Celastrina echo,Pacific Azure,Lepidoptera,Lycaenidae,Pollinator
2258,Emesis emesia,Pacific Azure,Lepidoptera,Riodinidae,Pollinator
2259,Ecliptopera silaceata,Small Phoenix ,Lepidoptera,Geometridae,Unknown/Not Available
2260,Anarta trifolii,"The Nutmeg, Clover Cutworm",Lepidoptera,Noctuidae,Pest
2261,Eristalinus aeneus,Syrphid Fly,Diptera,Syrphidae,Pollinator
2262,Darapsa choerilus,azalea sphinx,Lepidoptera,Sphingidae,Pollinator
2263,Zelus renardii,Leaf Hopper Assissan Bug,Hemiptera,Reduviidae,Predator
2264,Calliphora vicina,Blue blowfly,Diptera,Calliphoridae,Decomposer
2265,Plagodis serinaria,lemon plagodis,Lepidoptera,Geometridae,Pest
2266,Chytonix palliatricula,Cloaked marvel moth,Lepidoptera,Noctuidae,Pollinator
2267,Enallagma aspersum,Azure Bluet,Odonata,Coenagrionidae,Predator
2268,Progomphus obscurus,the common sanddragon,Odonata,Gomphidae,Predator
2269,Halysidota tessellaris,Pale Tiger Moth,Lepidoptera,Erebidae,Pest
2270,Borbo cinnara,rice swift or Formosan swift,Lepidoptera,Hesperiidae,Pest
2271,Rachiplusia ou,the gray looper moth,Lepidoptera,Noctuidae,Pest
2272,Burnsius albescens,White checkered skipper,Lepidoptera,Hesperiidae,Pollinator
